filename,width,height,class,xmin,ymin,xmax,ymax
191.jpg,800,600,Grasshopper,135,105,773,502
192.jpg,800,600,Grasshopper,236,179,534,492
193.jpg,800,600,Grasshopper,146,133,797,504
194.jpg,800,600,Grasshopper,50,95,631,434
195.jpg,800,600,Grasshopper,111,133,692,563
197.jpg,800,600,Grasshopper,36,184,504,522
198.jpg,800,600,Grasshopper,87,181,449,430
1_1.jpg,770,393,Paddy_stemborer,114,132,735,354
1_2.jpg,770,393,Paddy_stemborer,152,37,638,348
1_3.jpg,770,393,Paddy_stemborer,185,78,654,349
1_4.jpg,770,393,Paddy_stemborer,36,230,208,310
1_5.jpg,770,393,Weed,548,298,664,386
1_5.jpg,770,393,Weed,119,219,188,346
1_5.jpg,770,393,Weed,419,22,503,198
1_5.jpg,770,393,Weed,161,80,278,211
1_6.jpg,770,393,Weed,647,48,696,207
1_6.jpg,770,393,Weed,86,207,200,315
1_7.jpg,770,393,Paddy_stemborer,31,126,259,196
1_7.jpg,770,393,Paddy_stemborer,414,174,735,267
2.jpg,768,574,Brown_plant_leafhopper,344,102,747,241
2.jpg,768,574,Brown_plant_leafhopper,42,289,478,435
20.jpg,800,600,Armyworms,230,191,643,398
200.jpg,800,600,Grasshopper,63,138,741,530
201.jpg,800,600,Grasshopper,139,184,704,426
202.jpg,800,600,Grasshopper,166,133,756,437
203.jpg,800,600,Grasshopper,460,32,756,200
203.jpg,800,600,Grasshopper,19,124,756,518
204.jpg,800,600,Grasshopper,69,157,634,515
205.jpg,800,600,Grasshopper,142,134,548,507
206.jpg,800,600,Grasshopper,182,142,602,422
207.jpg,800,600,Grasshopper,7,288,673,529
208.jpg,800,600,Grasshopper,141,119,746,483
209.jpg,800,600,Grasshopper,57,116,532,600
210.jpg,800,600,Grasshopper,164,210,543,490
211.jpg,800,600,Grasshopper,98,137,687,439
212.jpg,800,600,Grasshopper,235,116,721,397
213.jpg,800,600,Grasshopper,121,193,631,478
214.jpg,800,600,Grasshopper,268,219,616,464
215.jpg,800,600,Grasshopper,175,187,673,471
216.jpg,800,600,Grasshopper,56,272,366,467
216.jpg,800,600,Grasshopper,473,306,715,483
218.jpg,800,600,Grasshopper,116,133,595,500
219.jpg,800,600,Grasshopper,40,44,789,525
22.jpg,800,600,Armyworms,205,208,636,413
220.jpg,800,600,Grasshopper,61,89,355,284
220.jpg,800,600,Grasshopper,187,321,492,514
220.jpg,800,600,Grasshopper,464,73,677,330
221.jpg,800,600,Grasshopper,115,145,778,431
222.jpg,800,600,Grasshopper,140,64,641,511
223.jpg,800,600,Grasshopper,97,53,716,508
224.jpg,800,600,Grasshopper,61,221,676,524
225.jpg,800,600,Grasshopper,82,224,652,507
226.jpg,800,600,Grasshopper,197,180,617,557
227.jpg,800,600,Grasshopper,142,103,714,415
228.jpg,800,600,Grasshopper,325,104,776,472
229.jpg,800,600,Grasshopper,258,135,767,406
23.jpg,800,600,Armyworms,139,111,634,512
230.jpg,800,600,Grasshopper,161,131,701,505
231.jpg,800,600,Grasshopper,43,158,367,377
231.jpg,800,600,Grasshopper,398,128,780,379
232.jpg,800,600,Grasshopper,57,144,609,516
233.jpg,800,600,Grasshopper,49,225,626,454
234.jpg,800,600,Grasshopper,85,183,654,534
235.jpg,800,600,Grasshopper,142,148,700,452
236.jpg,800,600,Grasshopper,24,65,641,498
237.jpg,800,600,Grasshopper,37,195,603,555
238.jpg,800,600,Grasshopper,146,121,757,524
239.jpg,800,600,Grasshopper,49,104,656,504
24.jpg,800,600,Armyworms,181,198,795,359
240.jpg,800,600,Grasshopper,79,152,636,551
242.jpg,800,600,Grasshopper,188,132,752,451
243.jpg,800,600,Grasshopper,182,136,713,474
244.jpg,800,600,Grasshopper,111,194,598,484
245.jpg,800,600,Grasshopper,318,24,777,452
246.jpg,800,600,Grasshopper,77,128,469,513
247.jpg,800,600,Grasshopper,43,181,638,524
256.jpg,800,600,Leaf_folder,276,274,391,524
257.jpg,800,600,Leaf_folder,202,224,587,402
258.jpg,800,600,Leaf_folder,37,150,785,531
259.jpg,800,600,Leaf_folder,295,53,649,559
26.jpg,800,600,Armyworms,121,354,350,544
26.jpg,800,600,Armyworms,301,218,549,384
260.jpg,800,600,Leaf_folder,198,223,301,463
261.jpg,800,600,Leaf_folder,355,51,419,249
261.jpg,800,600,Leaf_folder,372,313,490,497
262.jpg,800,600,Leaf_folder,328,201,491,324
263.jpg,800,600,Leaf_folder,277,158,785,441
263.jpg,800,600,Leaf_folder,121,98,225,524
264.jpg,800,600,Leaf_folder,55,159,750,501
265.jpg,800,600,Leaf_folder,148,202,415,319
266.jpg,800,600,Leaf_folder,222,164,345,394
267.jpg,800,600,Leaf_folder,316,197,429,467
268.jpg,800,600,Leaf_folder,20,120,687,543
269.jpg,800,600,Leaf_folder,212,183,557,424
27.jpg,800,600,Armyworms,347,179,554,461
27.jpg,800,600,Armyworms,88,444,327,592
270.jpg,800,600,Leaf_folder,111,84,401,398
270.jpg,800,600,Leaf_folder,93,483,389,565
270.jpg,800,600,Leaf_folder,512,218,580,544
271.jpg,800,600,Leaf_folder,367,241,470,520
272.jpg,800,600,Leaf_folder,205,187,286,375
273.jpg,800,600,Leaf_folder,19,103,180,557
273.jpg,800,600,Leaf_folder,399,69,587,564
274.jpg,800,600,Leaf_folder,265,229,452,291
275.jpg,800,600,Leaf_folder,157,180,674,434
276.jpg,800,600,Leaf_folder,319,160,579,480
277.jpg,800,600,Leaf_folder,26,70,777,536
278.jpg,800,600,Leaf_folder,47,467,119,560
278.jpg,800,600,Leaf_folder,676,261,765,574
278.jpg,800,600,Leaf_folder,284,184,382,253
280.jpg,800,600,Leaf_folder,297,271,665,374
281.jpg,800,600,Leaf_folder,411,263,581,464
282.jpg,800,600,Leaf_folder,236,210,567,402
283.jpg,800,600,Leaf_folder,242,170,478,369
284.jpg,800,600,Leaf_folder,142,54,702,542
285.jpg,800,600,Leaf_folder,253,226,601,404
285.jpg,800,600,Leaf_folder,154,170,307,223
286.jpg,800,600,Leaf_folder,485,236,607,487
287.jpg,800,600,Leaf_folder,155,274,640,439
288.jpg,800,600,Leaf_folder,44,151,762,463
289.jpg,800,600,Leaf_folder,57,169,748,481
29.jpg,800,600,Armyworms,275,307,498,459
29.jpg,800,600,Armyworms,150,494,512,581
29.jpg,800,600,Armyworms,310,41,447,237
290.jpg,800,600,Leaf_folder,14,178,800,519
291.jpg,800,600,Leaf_folder,337,127,457,504
292.jpg,800,600,Leaf_folder,261,182,468,411
293.jpg,800,600,Leaf_folder,77,24,786,599
294.jpg,800,600,Leaf_folder,180,166,406,538
295.jpg,800,600,Leaf_folder,228,100,335,244
295.jpg,800,600,Leaf_folder,554,37,638,234
296.jpg,800,600,Leaf_folder,357,196,465,274
2_1.jpg,770,420,Brown_plant_leafhopper,227,152,576,288
2_2.jpg,770,420,Brown_plant_leafhopper,181,161,749,292
2_3.jpg,770,420,Brown_plant_leafhopper,242,126,518,271
2_4.jpg,770,420,Brown_plant_leafhopper,181,198,556,328
2_5.jpg,770,420,Brown_plant_leafhopper,134,42,699,416
2_6.jpg,770,420,Brown_plant_leafhopper,350,18,429,195
2_6.jpg,770,420,Brown_plant_leafhopper,392,232,471,377
2_7.jpg,770,420,Weed,13,85,124,152
2_7.jpg,770,420,Weed,149,94,229,193
2_7.jpg,770,420,Weed,678,59,761,152
2_7.jpg,770,420,Weed,498,210,640,274
2_7.jpg,770,420,Weed,397,72,578,159
2_7.jpg,770,420,Weed,255,98,375,201
30.jpg,800,600,Armyworms,292,123,496,483
304.jpg,800,600,Mealy_bug,194,280,440,555
304.jpg,800,600,Mealy_bug,222,155,360,285
304.jpg,800,600,Mealy_bug,134,1,316,150
305.jpg,800,600,Mealy_bug,370,164,517,474
306.jpg,800,600,Mealy_bug,350,293,529,451
306.jpg,800,600,Mealy_bug,411,64,497,155
306.jpg,800,600,Mealy_bug,89,60,161,101
307.jpg,800,600,Mealy_bug,438,14,652,358
307.jpg,800,600,Mealy_bug,70,230,393,587
308.jpg,800,600,Mealy_bug,345,190,507,511
309.jpg,800,600,Mealy_bug,508,106,727,424
309.jpg,800,600,Mealy_bug,96,244,500,506
31.jpg,800,600,Armyworms,267,284,532,447
31.jpg,800,600,Armyworms,174,488,527,596
310.jpg,800,600,Mealy_bug,94,166,409,407
311.jpg,800,600,Mealy_bug,282,197,768,379
311.jpg,800,600,Mealy_bug,35,248,233,477
312.jpg,800,600,Mealy_bug,279,130,449,397
313.jpg,800,600,Mealy_bug,356,196,505,382
313.jpg,800,600,Mealy_bug,154,144,276,344
315.jpg,800,600,Mealy_bug,246,101,533,484
316.jpg,800,600,Mealy_bug,179,147,353,495
317.jpg,800,600,Mealy_bug,84,326,197,439
317.jpg,800,600,Mealy_bug,286,154,508,329
317.jpg,800,600,Mealy_bug,560,251,696,545
318.jpg,800,600,Mealy_bug,143,81,787,561
319.jpg,800,600,Mealy_bug,84,76,326,269
32.jpg,800,600,Armyworms,93,204,706,415
320.jpg,800,600,Mealy_bug,40,184,416,544
321.jpg,800,600,Mealy_bug,385,28,677,570
322.jpg,800,600,Mealy_bug,237,185,599,467
323.jpg,800,600,Mealy_bug,211,140,296,289
323.jpg,800,600,Mealy_bug,328,190,461,363
324.jpg,800,600,Mealy_bug,78,234,176,361
324.jpg,800,600,Mealy_bug,272,418,380,514
324.jpg,800,600,Mealy_bug,165,187,601,590
325.jpg,800,600,Mealy_bug,606,116,726,279
325.jpg,800,600,Mealy_bug,12,305,283,584
325.jpg,800,600,Mealy_bug,383,225,556,382
326.jpg,800,600,Mealy_bug,406,309,683,547
326.jpg,800,600,Mealy_bug,214,57,566,293
327.jpg,800,600,Mealy_bug,315,159,461,354
328.jpg,800,600,Mealy_bug,259,351,537,581
328.jpg,800,600,Mealy_bug,352,14,507,254
329.jpg,800,600,Mealy_bug,415,266,570,396
329.jpg,800,600,Mealy_bug,61,225,248,427
33.jpg,800,600,Armyworms,7,103,370,379
330.jpg,800,600,Mealy_bug,336,195,604,411
330.jpg,800,600,Mealy_bug,120,1,345,182
331.jpg,800,600,Mealy_bug,299,249,410,387
333.jpg,800,600,Mealy_bug,420,74,640,232
333.jpg,800,600,Mealy_bug,344,256,637,463
336.jpg,800,600,Mealy_bug,39,45,134,232
336.jpg,800,600,Mealy_bug,187,39,297,226
336.jpg,800,600,Mealy_bug,348,45,453,225
336.jpg,800,600,Mealy_bug,513,46,605,220
336.jpg,800,600,Mealy_bug,661,31,782,221
336.jpg,800,600,Mealy_bug,26,304,140,520
336.jpg,800,600,Mealy_bug,195,316,297,508
336.jpg,800,600,Mealy_bug,352,319,448,504
336.jpg,800,600,Mealy_bug,509,324,617,499
336.jpg,800,600,Mealy_bug,678,287,762,464
337.jpg,800,600,Mealy_bug,261,34,543,371
338.jpg,800,600,Mealy_bug,177,160,421,317
338.jpg,800,600,Mealy_bug,114,346,471,503
338.jpg,800,600,Mealy_bug,444,202,786,398
339.jpg,800,600,Mealy_bug,276,215,554,396
341.jpg,800,600,Mealy_bug,171,39,666,274
341.jpg,800,600,Mealy_bug,307,291,674,511
342.jpg,800,600,Mealy_bug,409,294,581,400
342.jpg,800,600,Mealy_bug,99,172,275,284
342.jpg,800,600,Mealy_bug,306,433,408,508
343.jpg,800,600,Mealy_bug,289,200,438,524
344.jpg,800,600,Mealy_bug,37,244,389,385
344.jpg,800,600,Mealy_bug,420,331,647,474
345.jpg,800,600,Mealy_bug,135,124,749,353
346.jpg,800,600,Mealy_bug,282,69,732,420
347.jpg,800,600,Mealy_bug,223,75,628,387
348.jpg,800,600,Mealy_bug,501,78,598,184
348.jpg,800,600,Mealy_bug,348,234,444,316
349.jpg,800,600,Mealy_bug,37,263,138,388
349.jpg,800,600,Mealy_bug,346,269,441,407
349.jpg,800,600,Mealy_bug,366,109,439,237
35.jpg,800,600,Armyworms,252,94,617,379
351.jpg,800,600,Mealy_bug,327,180,497,423
351.jpg,800,600,Mealy_bug,35,166,242,406
353.jpg,800,600,Mealy_bug,156,94,353,324
353.jpg,800,600,Mealy_bug,382,154,740,458
354.jpg,800,600,Mealy_bug,385,198,730,413
355.jpg,800,600,Mealy_bug,263,235,414,404
356.jpg,800,600,Mealy_bug,135,189,553,424
357.jpg,800,600,Mealy_bug,435,304,539,403
358.jpg,800,600,Mealy_bug,112,287,572,505
359.jpg,800,600,Mealy_bug,276,38,697,589
360.jpg,800,600,Mealy_bug,188,202,448,410
361.jpg,800,600,Mealy_bug,36,210,352,474
361.jpg,800,600,Mealy_bug,400,57,633,343
362.jpg,800,600,Mealy_bug,67,180,735,464
363.jpg,800,600,Mealy_bug,162,345,261,513
364.jpg,800,600,Mealy_bug,391,165,676,331
364.jpg,800,600,Mealy_bug,48,257,217,516
365.jpg,800,600,Mealy_bug,254,242,639,542
366.jpg,800,600,Mealy_bug,304,210,409,384
367.jpg,800,600,Mealy_bug,329,184,422,322
368.jpg,800,600,Mealy_bug,276,97,528,520
369.jpg,800,600,Mealy_bug,377,274,614,427
369.jpg,800,600,Mealy_bug,461,54,670,151
37.jpg,800,600,Armyworms,337,335,503,558
37.jpg,800,600,Armyworms,24,18,346,294
37.jpg,800,600,Armyworms,610,533,782,590
370.jpg,800,600,Mealy_bug,256,459,547,600
370.jpg,800,600,Mealy_bug,263,63,590,444
371.jpg,800,600,Mealy_bug,217,329,321,478
372.jpg,800,600,Mealy_bug,430,351,627,592
372.jpg,800,600,Mealy_bug,16,179,444,340
373.jpg,800,600,Mealy_bug,222,259,331,593
373.jpg,800,600,Mealy_bug,365,185,620,422
38.jpg,800,600,Armyworms,280,154,707,360
380.jpg,800,600,Paddy_stemborer,59,96,777,514
381.jpg,800,600,Paddy_stemborer,206,101,569,449
382.jpg,800,600,Paddy_stemborer,223,62,485,514
383.jpg,800,600,Paddy_stemborer,62,122,196,429
383.jpg,800,600,Paddy_stemborer,251,114,392,257
383.jpg,800,600,Paddy_stemborer,264,337,448,427
384.jpg,800,600,Paddy_stemborer,348,251,451,442
385.jpg,800,600,Paddy_stemborer,353,194,546,463
385.jpg,800,600,Paddy_stemborer,91,165,244,340
386.jpg,800,600,Paddy_stemborer,230,58,417,424
387.jpg,800,600,Paddy_stemborer,405,127,642,395
387.jpg,800,600,Paddy_stemborer,177,154,338,536
388.jpg,800,600,Paddy_stemborer,576,197,752,533
388.jpg,800,600,Paddy_stemborer,29,65,312,508
389.jpg,800,600,Paddy_stemborer,77,206,755,480
39.jpg,800,600,Armyworms,114,235,637,357
390.jpg,800,600,Paddy_stemborer,92,164,488,543
391.jpg,800,600,Paddy_stemborer,388,122,609,440
391.jpg,800,600,Paddy_stemborer,15,103,201,472
392.jpg,800,600,Paddy_stemborer,337,161,459,444
393.jpg,800,600,Paddy_stemborer,104,169,727,372
394.jpg,800,600,Paddy_stemborer,305,284,682,570
395.jpg,800,600,Paddy_stemborer,250,71,549,539
396.jpg,800,600,Paddy_stemborer,455,163,774,417
396.jpg,800,600,Paddy_stemborer,66,49,230,534
397.jpg,800,600,Paddy_stemborer,190,242,736,377
398.jpg,800,600,Paddy_stemborer,266,62,562,389
399.jpg,800,600,Paddy_stemborer,240,302,471,489
40.jpg,800,600,Armyworms,107,66,737,523
400.jpg,800,600,Paddy_stemborer,294,86,573,518
401.jpg,800,600,Paddy_stemborer,193,313,508,520
402.jpg,800,600,Paddy_stemborer,207,194,619,509
403.jpg,800,600,Paddy_stemborer,309,177,541,406
404.jpg,800,600,Paddy_stemborer,297,78,471,521
405.jpg,800,600,Paddy_stemborer,275,157,516,439
406.jpg,800,600,Paddy_stemborer,128,86,687,554
407.jpg,800,600,Paddy_stemborer,298,185,498,381
408.jpg,800,600,Paddy_stemborer,236,185,361,454
409.jpg,800,600,Paddy_stemborer,308,118,496,480
41.jpg,800,600,Armyworms,133,99,690,415
410.jpg,800,600,Paddy_stemborer,168,209,634,422
411.jpg,800,600,Paddy_stemborer,20,215,621,518
412.jpg,800,600,Paddy_stemborer,233,87,658,545
413.jpg,800,600,Paddy_stemborer,324,41,486,522
414.jpg,800,600,Paddy_stemborer,315,122,497,463
415.jpg,800,600,Paddy_stemborer,532,162,800,341
415.jpg,800,600,Paddy_stemborer,33,247,552,407
417.jpg,800,600,Paddy_stemborer,465,197,653,354
417.jpg,800,600,Paddy_stemborer,40,356,260,448
42.jpg,800,600,Armyworms,10,102,789,471
425.jpg,800,600,Rice_case_worm,37,272,244,498
425.jpg,800,600,Rice_case_worm,598,125,765,296
426.jpg,800,600,Rice_case_worm,20,25,140,187
426.jpg,800,600,Rice_case_worm,303,125,586,304
426.jpg,800,600,Rice_case_worm,112,250,427,492
427.jpg,800,600,Rice_case_worm,261,43,566,519
428.jpg,800,600,Rice_case_worm,307,199,431,469
428.jpg,800,600,Rice_case_worm,402,35,556,319
429.jpg,800,600,Rice_case_worm,288,224,610,384
430.jpg,800,600,Rice_case_worm,177,151,573,444
431.jpg,800,600,Rice_case_worm,452,28,521,204
431.jpg,800,600,Rice_case_worm,395,451,477,600
431.jpg,800,600,Rice_case_worm,557,177,736,314
433.jpg,800,600,Rice_case_worm,155,231,609,448
435.jpg,800,600,Rice_case_worm,122,34,687,529
436.jpg,800,600,Rice_case_worm,74,210,286,371
437.jpg,800,600,Rice_case_worm,175,108,627,515
438.jpg,800,600,Rice_case_worm,76,28,720,534
439.jpg,800,600,Rice_case_worm,70,80,741,465
44.jpg,800,600,Armyworms,173,100,679,434
440.jpg,800,600,Rice_case_worm,293,272,692,545
441.jpg,800,600,Rice_case_worm,113,196,632,458
442.jpg,800,600,Rice_case_worm,130,100,645,463
443.jpg,800,600,Rice_case_worm,10,146,754,450
444.jpg,800,600,Rice_case_worm,122,51,301,497
445.jpg,800,600,Rice_case_worm,489,30,664,506
445.jpg,800,600,Rice_case_worm,71,35,241,522
446.jpg,800,600,Rice_case_worm,308,162,437,474
447.jpg,800,600,Rice_case_worm,297,191,399,476
448.jpg,800,600,Rice_case_worm,166,153,345,436
449.jpg,800,600,Rice_case_worm,377,228,710,418
449.jpg,800,600,Rice_case_worm,68,82,273,486
45.jpg,800,600,Armyworms,96,103,641,574
450.jpg,800,600,Rice_case_worm,68,43,696,543
451.jpg,800,600,Rice_case_worm,264,60,525,541
452.jpg,800,600,Rice_case_worm,315,121,587,411
453.jpg,800,600,Rice_case_worm,127,132,607,540
454.jpg,800,600,Rice_case_worm,142,173,657,370
455.jpg,800,600,Rice_case_worm,94,142,684,514
456.jpg,800,600,Rice_case_worm,340,155,579,523
457.jpg,800,600,Rice_case_worm,295,42,643,577
458.jpg,800,600,Rice_case_worm,267,121,428,304
459.jpg,800,600,Rice_case_worm,196,117,543,510
460.jpg,800,600,Rice_case_worm,290,35,743,371
461.jpg,800,600,Rice_case_worm,313,125,488,566
462.jpg,800,600,Rice_case_worm,322,114,477,499
463.jpg,800,600,Rice_case_worm,582,108,737,184
463.jpg,800,600,Rice_case_worm,557,371,780,461
463.jpg,800,600,Rice_case_worm,117,270,202,396
47.jpg,800,600,Armyworms,162,211,596,386
475.jpg,800,600,Rice_earhead_bug,191,248,387,584
476.jpg,800,600,Rice_earhead_bug,227,160,434,508
477.jpg,800,600,Rice_earhead_bug,247,242,420,404
478.jpg,800,600,Rice_earhead_bug,218,183,626,570
479.jpg,800,600,Rice_earhead_bug,265,243,450,474
48.jpg,800,600,Armyworms,273,258,629,374
480.jpg,800,600,Rice_earhead_bug,259,35,476,527
481.jpg,800,600,Rice_earhead_bug,270,198,703,472
482.jpg,800,600,Rice_earhead_bug,303,181,496,290
483.jpg,800,600,Rice_earhead_bug,429,41,627,223
483.jpg,800,600,Rice_earhead_bug,186,260,464,570
484.jpg,800,600,Rice_earhead_bug,286,341,583,498
484.jpg,800,600,Rice_earhead_bug,246,184,620,332
485.jpg,800,600,Rice_earhead_bug,128,89,563,384
486.jpg,800,600,Rice_earhead_bug,178,176,629,387
487.jpg,800,600,Rice_earhead_bug,263,157,625,558
488.jpg,800,600,Rice_earhead_bug,207,84,629,538
489.jpg,800,600,Rice_earhead_bug,335,215,674,384
49.jpg,800,600,Armyworms,166,80,798,408
490.jpg,800,600,Rice_earhead_bug,417,190,748,381
491.jpg,800,600,Rice_earhead_bug,8,108,543,361
492.jpg,800,600,Rice_earhead_bug,358,330,693,502
493.jpg,800,600,Rice_earhead_bug,115,150,762,533
494.jpg,800,600,Rice_earhead_bug,220,208,736,411
495.jpg,800,600,Rice_earhead_bug,231,227,413,426
496.jpg,800,600,Rice_earhead_bug,377,213,618,403
497.jpg,800,600,Rice_earhead_bug,245,90,624,331
498.jpg,800,600,Rice_earhead_bug,30,71,800,367
499.jpg,800,600,Rice_earhead_bug,78,113,567,349
50.jpg,800,600,Armyworms,84,257,769,410
500.jpg,800,600,Rice_earhead_bug,82,170,738,403
501.jpg,800,600,Rice_earhead_bug,102,84,696,575
502.jpg,800,600,Rice_earhead_bug,106,140,250,556
502.jpg,800,600,Rice_earhead_bug,387,160,724,402
503.jpg,800,600,Rice_earhead_bug,52,174,738,371
504.jpg,800,600,Rice_earhead_bug,191,226,717,354
508.jpg,800,600,Rice_earhead_bug,273,234,645,429
509.jpg,800,600,Rice_earhead_bug,112,236,636,413
51.jpg,800,600,Armyworms,75,126,720,326
